PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Pearson, Mike Parker; Pollard, Josh; Richards, Colin; Thomas, Julian; Tilley, Christopher; Welham, Kate; Albarella, Umberto								Materializing Stonehenge - The Stonehenge Riverside Project and new discoveries								JOURNAL OF MATERIAL CULTURE				11	1-2			227	261		10.1177/1359183506063024			MAR-JUL 2006	2006	This article reviews recent interpretations of Stonehenge in terms of contrasting uses of stone and timber in the mid-3rd millennium BC. It explores the relationship of this enigmatic monument with circles of wood at nearby Durrington Walls and Woodhenge, establishing how these various monuments might have been integrated into a single scheme in which these remarkable structures were linked by artificial avenues and the natural feature of the River Avon. It also investigates the ways in which substances other than wood and stone - turf, earth, chalk and wood ash - may also have had significance for ideas and practices of transformation involving the living and the dead. The results of excavations and fieldwork in 2004 and 2005 are also summarized.					Conference on Landscape, Heritage and Identity in honor of Barbara BenderConference on Landscape, Heritage and Identity in honor of Barbara Bender	MAR 21, 2005MAR 21, 2005		Univ Coll London, London, ENGLANDUniv Coll London, London, ENGLAND	20	0	0	1	0	20			1359-1835			WOS:000238312900013	
J	Gregson, N; Crewe, L				French, Shaun/B-1155-2010				Performance and possession - Rethinking the act of purchase in the light of the car boot sale								JOURNAL OF MATERIAL CULTURE				2	2			241	263		10.1177/135918359700200205			JUL 1997	1997	This paper provides both an empirical account of the act of purchase within the car boot sale and an evaluation of the implications of these findings for theoretical debates on consumption. The paper begins by urging the need to rethink the act of purchase within consumption studies: whilst theoretical accounts have presumed much about the act of purchase, these same accounts are argued to exhibit serious deficiencies, some of which can be located in their assumption that the act of purchase (and consumption more generally) is confined to conventional retail environments. In contrast, car boot sale purchasing is shown to involve both separately and simultaneously theatricality and performance, unpredictability and the unexpected, skill, thrift and pleasure and desire. Furthermore, such characteristics are argued to exert considerable influence on the rituals of possession, personalization and re-enchantment that are shown to accompany much car boot sale purchasing. We conclude the paper by emphasizing the continued need for research on consumption to connect the act of purchase to what is done with/to particular items; by examining the implications of our findings for theoretical narratives of risk; and by posing a number of questions for research on the act of purchase in conventional retail environments.									20	0	0	1	0	20			1359-1835			WOS:A1997XJ42400005	
J	Hitchings, Russell								Expertise and inability - Cultured materials and the reason for some retreating lawns in London								JOURNAL OF MATERIAL CULTURE				11	3			364	381		10.1177/1359183506068810			NOV 2006	2006	Material culture, as a concept, is suggestive of control. Yet, when we acknowledge it, it becomes clear that all the physical things we handle have a degree of independence. Indeed, by exploring the ways in which this independence is intimately accommodated, a richer understanding of certain kinds of experience could follow. With this argument in mind, this article travels to some domestic gardens in north London to reconsider the human activities associated with the plants that are found there. In these sites it seems that amicable arrangements of entity only ever become possible through fully embracing the fact that those people involved own only one, amongst many, of the agencies in evidence there. In fact, whilst an idea of a successful gardener can connote an efficient exercise of power, I want to argue that the opposite is actually the case. My contention, therefore, is that, to fully find pleasure from plants, people must become enjoyably expert in understanding that any complete control is always unlikely, and this is a contention with some potentially important implications for current patterns of practice.									19	0	0	2	0	19			1359-1835			WOS:000242441800005	
J	McCormick, J; Jarman, N								Death of a mural								JOURNAL OF MATERIAL CULTURE				10	1			49	71		10.1177/1359183505050094			MAR 2005	2005	This article focuses on what happens when mural paintings in Northern Ireland come to the end of their effective lifespan. It begins from a perspective of mural painting as a socially constructed artefact, which is involved in dynamic interaction with the local environment. But while most work on this subject area has focused on the reasons why paintings are created in the first place and/or on the meanings of their symbolic content, the article analyses what happens when the murals are no longer of any social interest and explores a number of reasons for their transformation, removal and disappearance. It defines a framework of seven categories: retirement, redundancy, recycling, redevelopment, reclamation, remonstration and restoration that can be used to explore how and why mural paintings that have reached the end of their life are removed or replaced.									18	0	0	0	1	19			1359-1835			WOS:000227729700003	
J	Valentine, G; Longstaff, B								Doing porridge - Food and social relations in a male prison								JOURNAL OF MATERIAL CULTURE				3	2			131	152		10.1177/135918359800300201			JUL 1998	1998	This article explores the meanings and use of food in the institutional setting of a male prison. In an environment where men have limited access to money or material goods, food assumes immense value. It has important symbolic associations for inmates in terms of 'home' and 'identity' while particular foodstuffs can be reworked to be employed in diverse ways within prison gym cultures, drug cultures and so on. Thus because food is a meaningful and useful commodity within the prison it has important exchange value, being traded both in its own right but also as a currency to purchase other more precious commodities. This in turn means that it is a source of conflict between individuals and between groups of inmates within prisons. The article therefore concludes by focusing on the role of food in the complex negotiation of power relations between inmates and staff, and between individuals and groups of inmates.									18	0	1	2	0	19			1359-1835			WOS:000075080900001	
J	Woodward, I				Woodward, Ian/A-4908-2008				Domestic objects and the taste epiphany - A resource for consumption methodology								JOURNAL OF MATERIAL CULTURE				6	2			115	136					JUL 2001	2001	The presentation of an aesthetic identity involves the accomplishment of a coherent, plausible narrative which links one's choices to desired characteristics of the self. As symbolic evidence of a person's taste, material culture is a vital component of a successful narrative. Via case studies of pivotal household objects, this paper uses face-to-face interview data as a way of investigating processes of aesthetic choice. Household objects are interpreted as material elements imbricated in the presentation of a socially plausible and internally consistent aesthetic self. Narrative analysis, and the concept of the epiphany-object, are proposed as useful ways of accounting for tastes in domestic material culture. Methodological questions of truth-telling and authenticity in the face-to-face context are considered, and the sociological problem of taste is scrutinized in light of ideas about social accountability and textual identity.									17	0	0	0	1	18			1359-1835			WOS:000169836700001	
J	Veenis, M								Consumption in East Germany - The seduction and betrayal of things								JOURNAL OF MATERIAL CULTURE				4	1			79	112					MAR 1999	1999	In this article the author focuses upon the feelings and expectations that pertained to Western material objects in East Germany, both before and after the fall of the Berlin Wall. Before these things were actually there, most East Germans seemed to have high hopes with regard to a life surrounded by this material-consumptive abundance. But now that the East German material world is completely Westernized, most people express severe doubts and distinctly ambivalent feelings with regard to the material changes that have occured in their country. By analysing the history of (the ideology surrounding) material culture in East Germany, characterized by an enormous gap between attractive promises on the one hand and a harsh everyday reality on the other, Veenis asserts that the material world on the other side of the Wall seemed to be the ultimate realization of all those beautiful sounding socialist promises. Within a socialist ideology, material development was the most important anchorpoint for far-reaching promises, which - taken together - boiled down to the idea that in the wake of (material) growth, amelioration and success, it would eventually be possible to realize a completely harmonious state of being. And because of their beautiful appearance, the sense of harmony and prosperity, the wonderful fragrance, the shining colours and the deep gleam that exuded from them, Western consumer-goods were attractive in an almost irresistible sensuous-aesthetic way. By emphasizing the sensuous characteristics of objects, Veenis uses the East German situation to further extend Daniel Miller and Colin Campbell's ideas with regard to the present-day place and role of consumption and the power of attraction of things in general.									18	0	0	0	0	18			1359-1835			WOS:000079136800005	
J	Meskell, Lynn; Scheermeyer, Colette								Heritage as therapy - Set pieces from the new South Africa								JOURNAL OF MATERIAL CULTURE				13	2			153	173		10.1177/1359183508090899			JUL 2008	2008	Since the democratic dispensation in South Africa, heritage as a category has been necessarily framed by the specter of the Truth and Reconciliation Commission, its place in wider society, the general underpinnings of amnesty, forgiveness and the desire to move forward as a nation. Human rights activism, truth commissions, and juridical proceedings are powerful mechanisms for dealing with historical trauma. More materially, South African cultural productions, including objects, memorials, museums, heritage sites and public spaces of commemoration provide another therapeutic arena. After 13 years of democracy, the material spaces of daily life provide a vantage point to examine how practices of remembering and forgetting pervade the public sphere and the world of things, and how traumatic embrace is configured to include (and exclude) certain constituencies as our case studies demonstrate. Spectacles of trauma and memory in the new South Africa are similarly shot through with other interventions including the pressures of state politics, development tactics and international tourism. Perhaps like never before, this 'state in search of a nation', has been under an international spotlight and has been held up as a beacon for other oppressive contexts and post-conflict states.									17	0	0	1	0	17			1359-1835	1460-3586		WOS:000258031900003	
J	Ashikari, M								Cultivating Japanese whiteness - The 'Whitening' cosmetics boom and the Japanese identity								JOURNAL OF MATERIAL CULTURE				10	1			73	91		10.1177/1359183505050095			MAR 2005	2005	This article examines the strong preference for light complexions observed among Japanese women. Since the late 1980s, consumption of 'whitening' cosmetics has remained at consistently high levels, and a 'white' complexion has been considered trendy and desirable in contemporary Japan. This social phenomenon should not be understood simply either as a reflection of admiration for the West, or as an expression of traditional values of female beauty in Japan. Rather, the skin tones of Japanese people are recognized and expressed as a dichotomy of 'white' and 'black', which is linked to a further dichotomy of 'us' and 'them'. Through this link, the white skin becomes a symbolic physical characteristic for identifying the Japanese people. Although the white skin can be interpreted in many different ways, both good and bad, in everyday life, other meanings are often subjugated to the white skin as a symbol of Japaneseness. This article argues that the meaning of a symbol is not simply produced or reproduced but represented and authorized through the body decoration in public.									17	0	0	0	0	17			1359-1835			WOS:000227729700004	
J	D'Alisera, J								I love Islam. Popular religious commodities, sites of inscription, and transnational Sierra Leonean identity								JOURNAL OF MATERIAL CULTURE				6	1			91	110					MAR 2001	2001	This essay explores how and why Muslim Sierra Leoneans living and working in the Washington DC metropolitan area inscribe religious identity onto their work sites by means of a variety of Islamic commodities. These items, ranging from bumper stickers and decals to informational pamphlets and kosher hot dogs, are physical manifestations of experience, a means of situating individual and community in transnational space. Looking at how individuals use religious objects to make and maintain their worlds points to the act of display as a physical manifestation of experience. How such objects are utilized on, in, and around taxi cabs and food vending stands - my male and female informants' primary work sites - reveals the artistic creation of new sensitivities towards self and religion, highlighting the complexity of multiple gazes and responses in multi-cultural Muslim and broader non-Muslim spaces.									15	0	0	0	1	16			1359-1835			WOS:000167925200005	
J	McVeigh, B								Commodifying affection, authority and gender in the everyday objects of Japan								JOURNAL OF MATERIAL CULTURE				1	3			291	312		10.1177/135918359600100302			NOV 1996	1996	Cute objects are encountered everywhere in Japan: in advertising, company logos, everyday objects and pornography; and in government-sponsored public safety posters, baby faces, smiling children, tiny bunnies and beaming bears are used to inform, warn, advise, admonish and shape opinion. Cuteness communicates power relations and power play, effectively combining weakness, submissiveness and humility with influence, domination and control. It merges meekness, admiration and attachment with benevolence, tenderness and sympathy. This paper focuses on the gendered aspect of cute things: how they communicate messages about being the 'ideal' woman. The multivocality of cuteness is revealed by employing Turner's symbolic analysis and this paper discusses the meanings and cultural values that, embedded in all the varied objects of cuteness, constitute a socionormative commentary about how women should behave, especially vis-a-vis men. Examples are provided to show how cuteness, as a sentiment that has been objectified, commodified and commercialized, affords communicative potency.									16	0	0	1	0	16			1359-1835			WOS:A1996WE77400002	
J	Moshenska, Gabriel								A hard rain: Children's Shrapnel collections in the Second World War								JOURNAL OF MATERIAL CULTURE				13	1			107	125		10.1177/1359183507086221			MAR 2008	2008	Anti-aircraft shells exploding at high altitudes scattered shards of red-hot steel across the towns and cities of Britain during the Second World War. For many schoolchildren, collecting and trading this shrapnel became a popular social activity, often recalled today in oral history interviews. Drawing on testimonies collected as part of the People's War project, this article examines these curious and neglected processes of accumulation, exchange and disposal, looking at the aesthetic qualities that gave shrapnel fragments their value and attractiveness. In doing so, it attempts to locate children's shrapnel collections within their social worlds, as well as within broader discussions of material culture and modern conflict. It highlights the significant differences from other more typical forms of collecting, and some of the more subversive uses that children found for their shrapnel. The article also raises the possibility that collecting these violent objects may have been a way for children to cope with the upheaval and brutality of total war.									15	0	0	0	0	15			1359-1835			WOS:000254928100006	
J	Schacter, Rafael								An ethnography of Iconoclash								JOURNAL OF MATERIAL CULTURE				13	1			35	61		10.1177/1359183507086217			MAR 2008	2008	In the following study, I will be investigating the distinct Iconoclash made manifest on our city streets, exploring the various discourses and themes raised through the clash over graffiti. Conducting an analytic account of this conflict, it will be suggested that the images possess both a potent and multifaceted form of agency and are physically embodied by their patients; it will equally be implied that their efficacy is advanced through the explicitly performative nature of the graffiti act, the images' evident ephemerality and the specific character of their medium. Subsequently, through an investigation into the discourses of dirt and deceptiveness, the various rationales assumed for the images reviled nature will be discussed, and finally, utilising notions of appropriation and detournement, the particular nature of the graffiti-artists engagement with their environment will be examined.In concluding, the evident similarities between both graffiti-artists and graffiti-removers will be analyzed, and a personal account of the interaction with the images encountered will be attempted.									14	0	0	0	1	15			1359-1835			WOS:000254928100003	
J	Parrott, FR								'It's not forever' - The material culture of hope								JOURNAL OF MATERIAL CULTURE				10	3			245	262		10.1177/1359183505057151			NOV 2005	2005	This article explores the way patients in a medium secure psychiatric unit relate to the institution through the decoration of bedrooms and self-decoration through clothing and accessories. The ethnography reveals that a refusal to decorate can be contrasted with an extreme concentration upon clothing and style. These two material genres are compared in terms of the potential ease with which they lend themselves to different forms of objectification, the values, uses or discourses which are constituted and developed through these acts of objectification and the constraints on the ability of agents to express them. The evidence suggests that patients continue to conceive of themselves primarily in terms of another potential life outside the institution, attempting to 'live within' material cultures that orientate them towards the future and to external relationships.									15	0	0	1	0	15			1359-1835			WOS:000233337900002	
J	Norris, L								Shedding skins - The materiality of divestment in India								JOURNAL OF MATERIAL CULTURE				9	1			59	71		10.1177/135918350401805			MAR 2004	2004	This article calls for a reconsideration of the materiality of things in dynamic processes of self-making and personhood. Grounded in research in contemporary urban India, it is argued that it is in the act of divestment that the capacity for the recreation of the self is made most apparent, due to the intimate connection between clothing and the body. Cloth is also a vital element of gift-giving and the re-creation of social networks. The case study of a woman trying to get rid of an unwanted garment highlights the options available and the different regimes of value by which the worth of used clothing can be assessed. These include handing on treasured pieces to family members, recycling within the home, giving to servants, bartering them for new stainless steel pots or burning them for their silver and gold content. The sacrifice and destruction of such intimate objects are the necessary prerequisite for the renewal of self within a network of mutually constitutive person-object relations.					Meeting of the American-Anthropological--AssociationMeeting of the American-Anthropological--Association	NOV, 2002NOV, 2002	Amer Anthropol AssocAmer Anthropol Assoc	New Orleans, LANew Orleans, LA	15	0	0	0	0	15			1359-1835			WOS:000220460200005	
J	Tilley, C; Hamilton, S; Harrison, S; Anderson, E								Nature, culture, clitter - Distinguishing between cultural and geomorphological landscapes; The case of hilltop tors in south-west England								JOURNAL OF MATERIAL CULTURE				5	2			197	224					JUL 2000	2000	This article addresses the problem of how to distinguish between natural and humanly modified features of the cultural landscape with reference to clitter (boulder and stone) masses in the south-west of England using the example of Leskernick hill, Bodmin Moor with its well-preserved Bronze Age settlement. We first set out a series of criteria for distinguishing between natural and humanly placed stones on the basis of a series of formal geomorphological criteria. We then discuss the stones from an archaeological perspective setting out a series of archaeological criteria by means of which we can recognize the presence of humanly modified stones. From this basis we discuss four examples in detail. Finally we attempt to interpret the significance of the cultural modification of stone masses, previously regarded by both archaeologists and geomorphologists as being entirely natural in origin, by challenging the very culture/nature distinction for ascribing meaning on which the previous considerations are made. Whilst acknowledging that the distinction between a stone that has been moved by human agency, and one that has not, is important for interpretation this does not make it more or less culturally significant.									15	0	0	1	1	15			1359-1835			WOS:000088417900004	
J	Foster, RJ								The commercial construction of 'new nations'								JOURNAL OF MATERIAL CULTURE				4	3			263	282					NOV 1999	1999	This article considers the instrumental role of commodity marketing and mass consumption in producing nationality as a dimension of personal and collective identities. It asks: if nation-ness and nationality no longer necessarily refer to political identities, then to what sort of imagined communities, if any, do they refer? It addresses this question in part through a discussion of commercial images from Papua New Guinea, one of the 'new nations' of the South Pacific.									15	0	0	0	0	15			1359-1835			WOS:000083798200002	
J	Danet, B								Books, letters, documents - The changing aesthetics of texts in late print culture								JOURNAL OF MATERIAL CULTURE				2	1			5	38		10.1177/135918359700200101			MAR 1997	1997	Digital writing is doubly attenuated; it is 'oral', yet it lacks the social and physical cues accompanying speech, and although it is a form of writing, it has no physical substance. The implications of this phenomenon are examined with respect to three types of texts: books, letters, and documents. As physical objects, books and letters have served as embodiments of experience and of the 'personal touch'. It is harder to give up documents as physical objects than books or letters. Not only the meanings inscribed in documents, but also aesthetic attributes of them and of the situations in which they are manipulated have been critical to the constitution of new social arrangements and relationships. As we move from late print culture to early computer culture, we will come to give up embodying functions of books and letters, which will become increasingly digital. Binding constitutive ceremonies may someday take place in virtual 'places' in cyberspace, with either virtual simulation of aesthetic experience, or with simultaneous real-world aesthetic activity among persons dispersed around the globe.									15	0	0	2	0	15			1359-1835			WOS:A1997WT04700001	
J	Lofgren, O								Scenes from a troubled marriage - Swedish ethnology and material culture studies								JOURNAL OF MATERIAL CULTURE				2	1			95	113		10.1177/135918359700200105			MAR 1997	1997	Why did material culture studies take up such a central space in the development of European ethnology in Sweden and why was this field abandoned, only to return during the 1980s in the new form of studies of 'creative consumption'? This paper looks at the changing ways in which the world of goods has been a research topic. Drawing on the Swedish experience it also discusses some ways of revitalizing the field, focusing on the materiality of everyday life, from the level of home-making to nation-building.									15	0		0	0	15			1359-1835			WOS:A1997WT04700005	
J	Hosler, D								Technical choices, social categories and meaning among the Andean potters of Las Animas								JOURNAL OF MATERIAL CULTURE				1	1			63	92		10.1177/135918359600100104			MAR 1996	1996	Las Animas is a northern Andean community where potters have been making copies of archaeological artefacts for the last 30 years. Dual organization characterizes this village. Here, potters live on one side of the community, comerciantes (distributors) on the other. Ethnotechnological studies show that two distinct production sequences are used for this pottery. Men in the high-status upper barrio use one, women and men in the lower-status barrio use the other. This new craft offers a vivid example of the dynamic role of technologies in shaping social forms and categories and the ways in which those forms and categories shape technological choices: here, gender and status distinctions are manifest through technical practices. Animenos link their work to that of the Antiguos, their prehistoric predecessors. These beliefs may partly explain why pottery production has become a powerful vehicle for social expression.									15	0		0	0	15			1359-1835			WOS:A1996WE77200003	
J	Macdonald, S								Words in stone? Agency and identity in a Nazi landscape								JOURNAL OF MATERIAL CULTURE				11	1-2			105	126		10.1177/1359183506063015			MAR-JUL 2006	2006	This article considers questions of agency, materiality and identity through a focus on a landscape largely shaped by the German National Socialists in the 1930s: the former Nazi party rally grounds in Nuremberg. It looks at Nazi ideas about architecture and the agency of buildings as 'words in stone' and the Nazi intention that the built heritage would endure and continue to 'speak' over time. It then goes on to discuss some of the post-war struggle with the Nazi heritage (and more specifically the Zeppelin Building) and the ways in which agency has been variously attributed. This highlights contests and changes in the attribution of agency, and shows how such attributions are embedded in wider understandings and politics of identity (including processes of 'de-Nazification' and 'facing the past'), as well as being coshaped by the connotations and 'suggestiveness' of material forms.					Conference on Landscape, Heritage and Identity in honor of Barbara BenderConference on Landscape, Heritage and Identity in honor of Barbara Bender	MAR   21, 2005MAR   21, 2005		Univ Coll London, London, ENGLANDUniv Coll London, London, ENGLAND	14	0	0	0	0	14			1359-1835			WOS:000238312900007	
J	Blain, J; Wallis, RJ								Sacred sites, contested rites/rights - Contemporary pagan engagements with the past								JOURNAL OF MATERIAL CULTURE				9	3			237	261		10.1177/1359183504046893			NOV 2004	2004	Our Sacred Sites, Contested Rites/Rights project (www.sacredsites.org.uk) examines physical, spiritual and interpretative engagements of today's pagans with sacred sites, theorizes 'sacredness', and explores the implications of pagan engagements with sites for heritage management and archaeology more generally, in terms of 'preservation ethic' vis-a-vis active engagement. In this article, we explore ways in which 'sacred sites' - both the term and the sites - are negotiated by different interest groups, fore-grounding our locations, as an archaeologist/art historian (Wallis) and anthropologist (Blain), and active pagan engagers with sites. Examples of pagan actions at such sites, including at Avebury and Stonehenge, demonstrate not only that their engagements with sacred sites are diverse and that identities - such as that of 'new indigenes' - arising there from are complex, but also that heritage management has not entirely neglected the issues. In addition to managed open access solstice celebrations at Stonehenge, a climate of inclusivity and multivocality has resulted in fruitful negotiations at the Rollright Stones.									14	0	0	0	0	14			1359-1835			WOS:000225270800002	
J	Geismar, H; Horst, HA								Materializing ethnography - Introduction								JOURNAL OF MATERIAL CULTURE				9	1			5	10		10.1177/1359183504041086			MAR 2004	2004										13	0	0	0	1	14			1359-1835			WOS:000220460200001	
J	Wright, C								Material and memory - Photography in the Western Solomon Islands								JOURNAL OF MATERIAL CULTURE				9	1			73	85		10.1177/1359183504041090			MAR 2004	2004	Despite frequently making use of photographs in their fieldwork and research, anthropologists rarely take account of their materiality. The identity of photography as a medium and its phenomenological status is, from the outset, assumed as given. There is no concern for what photography actually is in different cultural contexts. Recognizing photographs as material culture is a way to address this blind spot, and suggests that any methodological use of them requires a more complex and subtle approach.					Meeting of the American-Anthropological--AssociationMeeting of the American-Anthropological--Association	NOV, 2002NOV, 2002	Amer Anthropolog AssocAmer Anthropolog Assoc	New Orleans, LANew Orleans, LA	14	0	0	1	0	14			1359-1835			WOS:000220460200006	
J	Van der Hoorn, M								Exorcizing remains - Architectural fragments as intermediaries between history and individual experience								JOURNAL OF MATERIAL CULTURE				8	2			189	213		10.1177/13591835030082004			JUL 2003	2003	How can a long undesired piece of architecture all of a sudden become an attractive souvenir for tourists, a talisman, a valuable object? Often relegated to the role of witness most individuals passively watch the large-scale transformation of their built environment. The situation can, however, be totally different with fragments of buildings. In two cases, the demolition of the Berlin Wall and the deserted national-socialist seaside resort of Prora (Germany), alienating associations and large-scale phenomena are concretized and individualized through active personal handling. The circulation of architectural remains from one owner to another is charged with meaning; stories told about these objects are a means to give sense to a more complex history and the ruins themselves function as valuable intermediaries between history and individual experience. The social life of architecture does not always end with its destruction, quite the contrary. Slashed into pieces, recycled, transformed, it continues to live in fragmented form.									12	0	0	0	2	14			1359-1835			WOS:000184232100004	
J	VomBruck, G								A house turned inside out - Inhabiting space in a Yemeni City								JOURNAL OF MATERIAL CULTURE				2	2			139	172		10.1177/135918359700200201			JUL 1997	1997	Based on the analysis of the organization of space in Yemen, this article explores whether Bourdieu's model of the Kabyle house is applicable outside Algeria. While agreeing with Bourdieu's contention that spatial meanings are invoked through the practice of men and women, I argue that the embodiment of socio-spatial divisions is contingent upon both gender and non-gender-based principles such as age and status affiliation. I suggest, furthermore, that the space of the house is never unambiguously private or public. Boundaries between these domains cannot be meaningfully drawn because they. constantly shift in accordance with the categories of actors who inhabit space. The moral codes governing behaviour and the practical activities of men and women produce continuities and discontinuities in the ordering of space both inside and outside the house.									14	0		0	0	14			1359-1835			WOS:A1997XJ42400001	
J	Naji, Myriem; Douny, Laurence								Untitled								JOURNAL OF MATERIAL CULTURE				14	4			411	432		10.1177/1359183509346184			DEC 2009	2009	"The editors of this special issue on '""Making"" and ""Doing"" the Material World' examine some aspects of the anthropology of techniques, a relatively understudied branch of anthropology, which considers the embodied and cognitive engagement of human beings in their lived material world. They suggest that the use of new theories of embodiment, cognition and performance allows for a consideration of the role of the senses, perception, emotions and materiality in the formation of knowledgeable, gendered subjects. They argue that the Francophone and Anglophone traditions in the anthropology of techniques are complementary, despite their divisions (between and within them)."									13	0	0	1	0	13			1359-1835	1460-3586		WOS:000272598000001	
J	Saunders, NJ								Bodies of metal, shells of memory - 'Trench Art', and the great war re-cycled								JOURNAL OF MATERIAL CULTURE				5	1			43	67					MAR 2000	2000	'Trench Art' is the evocative but misleading term used to describe a wide variety of objects in various media made by soldiers, prisoners of war, and civilians during the First World War (1914-18) and the succeeding inter-war period (1919-39). The production of such objects appears as a widespread human response to the conditions of modern warfare, with examples coming from the Beer War and many if not most 20th century conflicts. This essay focuses on metal 'Trench Art' from the Western Front between 1914 and 1939. It offers an initial categorization of types, and explores their various symbolic dimensions as souvenirs and mementoes, objectifications of loss, war trophies, and as materializations of the relationships between object and maker, men and women, the warring nations, and the living and the dead. It is suggested that 'Trench Art' is an important and hitherto overlooked source for understanding the cultural memory of 20th century war.									13	0	0	1	0	13			1359-1835			WOS:000085507100003	
J	Jaffe, A								Packaged sentiments - The social meanings of greeting cards								JOURNAL OF MATERIAL CULTURE				4	2			115	141					JUL 1999	1999	This paper analyzes the social uses and meanings of greeting cards. It argues that cards occupy an intermediate and shifting place in between the opposing social categories of 'gift' vs. 'commodity'. The fact that the card is not a pure gift is the source of social criticisms of cards as impersonal. But the card's ambiguous status is also at the heart of its unique communicative potential. Analysis of specific cards and card categories shows how card senders can exploit various and multiple dimensions of the card's gift and commodity-like qualities to express socially authenticated identities and sentiments, as well as to send subtle and complex new messages about identities and relationships. Card use also shows how commodities can be 'appropriated' as gifts in the act of shopping and choosing; moreover, the consumption of cards is depicted as a dynamic site of 'virtual' interactions between sender and receiver. The specific case of greeting cards is used to illustrate the more general point that most things are not intrinsically 'gifts' or 'commodities'. Rather, things acquire these identities by virtue of social interactions and processes.									13	0	0	1	0	13			1359-1835			WOS:000081919400001	
J	De Jong, Ferdinand; Rowlands, Michael								Postconflict heritage - Introduction								JOURNAL OF MATERIAL CULTURE				13	2			131	134		10.1177/1359183508090894			JUL 2008	2008										12	0	0	0	0	12			1359-1835			WOS:000258031900001	
J	Burrell, Kathy								Managing, learning and sending : The material lives and journeys of Polish women in Britain								JOURNAL OF MATERIAL CULTURE				13	1			63	83		10.1177/1359183507086219			MAR 2008	2008	This article investigates the material lives and journeys of eight women who migrated to Britain from Poland during the time of the socialist regime. Although the state created obstructions to emigration, it was viable for women with family overseas to travel to the West as visitors, sometimes turning temporary stays into permanent settlements through marriage. For others, westward travel was made possible by professional employment opportunities. These journeys of migration not only crossed political divides, but also forced a fundamental shift in the material lives of the migrants, transporting them from a shortage economy supported by black market activities to a relatively affluent consumer society. Based on in-depth interviews, this article considers three aspects of the telling of this change in these women's material lives: how they related their material experiences of socialist Poland; how they framed their encounters with their new consumer environment; and how they reconfigured their material relationships with those left behind.									12	0	0	0	0	12			1359-1835			WOS:000254928100004	
J	Sansi-Roca, R				SANSI, ROGER/H-5720-2015	SANSI, ROGER/0000-0001-7084-9243			The hidden life of stones - Historicity, materiality and the value of Candomble objects in Bahia								JOURNAL OF MATERIAL CULTURE				10	2			139	156		10.1177/1359183505053072			JUL 2005	2005	In the last century, the objects of Candomble, a religion of African origin in Bahia, suffered radical transformations in their public value. After discussing in general terms the life of 'saint' stones (ota) in Candomble, this article then focuses on the traces of the life history of one of these ota. This stone was seized in a police raid in a Candomble house, and then displayed in a museum, until a legal action recently undertaken by political activists obliged the museum to withdraw the stone from exhibition. In the conclusion, I propose to recognize notions of historicity and materiality as keys to understanding the life and 'agency' of this and other objects.									9	0	0	0	3	12			1359-1835			WOS:000230513100003	
J	Leach, J								Owning creativity - Cultural property and the efficacy of custom on the Rai Coast of Papua New Guinea								JOURNAL OF MATERIAL CULTURE				8	2			123	143		10.1177/13591835030082001			JUL 2003	2003	This article examines the reasoning behind calls for the protection, and restitution, of cultural property particularly by UNESCO, between 1970 and 1990. I reflect on discourses that value objects, identity heritage, and customs in a package, which make cultural groups look like individuals to whom certain rights are attached. I do so in the light of material drawn from fieldwork on the Rai Coast of Papua New Guinea. There too, people place a high value on what they term kastom; a word in Neo-Melanesian which derives from the English term 'customs' but has a rather different meaning. I suggest that Nekgini speakers' valuation and validation of 'kastom' contrasts sharply with notions of value built into heritage and cultural property. There is a particular conception of integrity and continuity a relevance based on the needs of the state or individual identity which is embedded in the notion of cultural property. I contend that this conception obscures the creativity which Nekgini speakers value in the practices of 'kastom'. My wider point is to question the direction in which recommendations covering the protection of cultural property has led.									12	0		0	0	12			1359-1835			WOS:000184232100001	
J	Halstead, N								Branding 'perfection' - Foreign as self; Self as 'foreign-foreign'								JOURNAL OF MATERIAL CULTURE				7	3			273	293					NOV 2002	2002	This article examines notions of fake and real vis-a-vis East Indians' interactions with American brand names, which provide particular insights into how they define themselves in relation to the 'foreign'. It considers how this claiming of the foreign allows for a notion of personhood which relies on outward migration or how people imagine themselves as being somewhere else. Belonging has to be understood in relation to another place, the locus of which in contemporary Caribbean has come to mean North America. It is how the American brand explicates an idea of perfection that in turn illustrates how East Indians in Guyana and New York relate with the foreign as self and the self as other to complete a sense of who they are. The notion of the fake indexes these relations in terms of both 'real brands' and 'real lives', which find different meanings in the shifting landscape of the foreign.									12	0	0	0	0	12			1359-1835			WOS:000179758900002	
