repo	terms	is_editors	url
cclaiborne/136-jquery-ajax-revised	  jquery ajax revised	false	http://github.com/cclaiborne/136-jquery-ajax-revised
whitehaven/shorthand-savings-estimator	shorthand savings estimator	false	http://github.com/whitehaven/shorthand-savings-estimator
bobsilverberg/mozmill-environment	mozmill environment	false	http://github.com/bobsilverberg/mozmill-environment
changa/vim-markdown	vim markdown	True	http://github.com/changa/vim-markdown
bojoer/tic-tac-toe	tic tac toe	false	http://github.com/bojoer/tic-tac-toe
bitovi/static-proxy	static proxy	false	http://github.com/bitovi/static-proxy
sirvine/parse_resource	parse resource	false	http://github.com/sirvine/parse_resource
trevizethemes/try_git	try git	false	http://github.com/trevizethemes/try_git
teamdevious/android_external_iptables	android external iptables	false	http://github.com/teamdevious/android_external_iptables
sn0bored/sample_app	sample app	false	http://github.com/sn0bored/sample_app
mvillena3/music_meta_fixer	music meta fixer	false	http://github.com/mvillena3/music_meta_fixer
mini-ten/mini-service	mini service	false	http://github.com/mini-ten/mini-service
jgdovin/craftech	craftech	false	http://github.com/jgdovin/craftech
reveluxlabs/lxreorderablecollectionviewflowlayout	lxreorderablecollectionviewflowlayout	false	http://github.com/reveluxlabs/lxreorderablecollectionviewflowlayout
johnmmdavidson/try_git	try git	false	http://github.com/johnmmdavidson/try_git
nguyenngocnhan90/jdflipnumberview	jdflipnumberview	false	http://github.com/nguyenngocnhan90/jdflipnumberview
dvinslauski/git	git	false	http://github.com/dvinslauski/git
orelsokolov/ember.js-controller-provider-example	ember js controller provider example	false	http://github.com/orelsokolov/ember.js-controller-provider-example
sampablokuper/lingualibre	lingualibre	false	http://github.com/sampablokuper/lingualibre
hosammohd/gitignore	gitignore	false	http://github.com/hosammohd/gitignore
nachiket90/jmeter-sample	jmeter sample	false	http://github.com/nachiket90/jmeter-sample
javierllaca/hello	hello	false	http://github.com/javierllaca/hello
mostwanted1976/belayout_fileprovider	belayout fileprovider	false	http://github.com/mostwanted1976/belayout_fileprovider
joeyfan/luoofm	luoofm	false	http://github.com/joeyfan/luoofm
vijaydev/gist	gist	false	http://github.com/vijaydev/gist
woodsdm/wsp-woods-david	wsp woods david	false	http://github.com/woodsdm/wsp-woods-david
nevyn/tcfileviewer	tcfileviewer	True	http://github.com/nevyn/tcfileviewer
k60yama/splashsample	splashsample	false	http://github.com/k60yama/splashsample
syartys/monodroid-samples	monodroid samples	false	http://github.com/syartys/monodroid-samples
openrest/geoservices4j	geoservices4j	false	http://github.com/openrest/geoservices4j
vicentshen/slidingmenu	slidingmenu	false	http://github.com/vicentshen/slidingmenu
thalesviolakis/awesomeproject	awesomeproject	false	http://github.com/thalesviolakis/awesomeproject
kirisame3/gittest	gittest	false	http://github.com/kirisame3/gittest
dimitargenov/pgpushnotificationsample	pgpushnotificationsample	false	http://github.com/dimitargenov/pgpushnotificationsample
christophervalles/textmate-php-toolkit-bundle	textmate php toolkit bundle	True	http://github.com/christophervalles/textmate-php-toolkit-bundle
maorhayoun/simplemembershipproviderspike	simplemembershipproviderspike	false	http://github.com/maorhayoun/simplemembershipproviderspike
glennferrie/melissadatasample	melissadatasample	false	http://github.com/glennferrie/melissadatasample
nbudin/devise_openid_authenticatable	devise openid authenticatable	false	http://github.com/nbudin/devise_openid_authenticatable
reivilo535/hre_recon_talk	hre recon talk	false	http://github.com/reivilo535/hre_recon_talk
cinderblocks/singularityviewer-cocoa	singularityviewer cocoa	True	http://github.com/cinderblocks/singularityviewer-cocoa
viniciustotti/atividade3	atividade3	false	http://github.com/viniciustotti/atividade3
thefutureosp/device_lge_mako	device lge mako	false	http://github.com/thefutureosp/device_lge_mako
mustafadevil/best-pc	best pc	false	http://github.com/mustafadevil/best-pc
tangledhelix/vim-endwise	vim endwise	True	http://github.com/tangledhelix/vim-endwise
davidyoung8906/calabash-android-demoapp	calabash android demoapp	false	http://github.com/davidyoung8906/calabash-android-demoapp
anatman/sample_app	sample app	false	http://github.com/anatman/sample_app
daviti/demoapp	demoapp	false	http://github.com/daviti/demoapp
yuanqing/yq-device-psds	yq device psds	false	http://github.com/yuanqing/yq-device-psds
bhavin04890/dashboard	dashboard	false	http://github.com/bhavin04890/dashboard
dnbert/supervisord-cookbook	supervisord cookbook	false	http://github.com/dnbert/supervisord-cookbook
jbusam/reader	reader	false	http://github.com/jbusam/reader
kevinml/homebrewdock	homebrewdock	false	http://github.com/kevinml/homebrewdock
davidjrice/ruby-couchbase-model	ruby couchbase model	false	http://github.com/davidjrice/ruby-couchbase-model
joshua-snapp/rstpreview	rstpreview	True	http://github.com/joshua-snapp/rstpreview
smartkoder/crazy-leopard	crazy leopard	false	http://github.com/smartkoder/crazy-leopard
tibolte/locationpickerview	locationpickerview	false	http://github.com/tibolte/locationpickerview
aquaware/pdfreadersample	pdfreadersample	false	http://github.com/aquaware/pdfreadersample
driesg/gravity-forms-pin-payments	gravity forms pin payments	false	http://github.com/driesg/gravity-forms-pin-payments
yoshiwarab/manavi-pottery	manavi pottery	false	http://github.com/yoshiwarab/manavi-pottery
atomicoverload/coproccessor1155	coproccessor 	false	http://github.com/atomicoverload/coproccessor1155
liuw79/multiview	multiview	false	http://github.com/liuw79/multiview
vidarw/threejsboilerplate	threejsboilerplate	false	http://github.com/vidarw/threejsboilerplate
samuelpage/anythingslider	anythingslider	false	http://github.com/samuelpage/anythingslider
frankk994/phonegapfileopener	phonegapfileopener	false	http://github.com/frankk994/phonegapfileopener
sammbeller/pa3	pa3	false	http://github.com/sammbeller/pa3
hramos/mgsplitviewcontroller	mgsplitviewcontroller	false	http://github.com/hramos/mgsplitviewcontroller
yelkurdi/dotvim	dotvim	True	http://github.com/yelkurdi/dotvim
davidykay/twilio-test	twilio test	false	http://github.com/davidykay/twilio-test
druver/monogame-samples	monogame samples	false	http://github.com/druver/monogame-samples
chenleo/chenleo.github.io	chenleo github io	false	http://github.com/chenleo/chenleo.github.io
joedougherty/freckle_cli	freckle cli	false	http://github.com/joedougherty/freckle_cli
yyda/vimconfig	vimconfig	True	http://github.com/yyda/vimconfig
xboxhacka/android_device_samsung_smdk4412-common	android device samsung smdk  common	false	http://github.com/xboxhacka/android_device_samsung_smdk4412-common
stephenrcox/adclustermapview	adclustermapview	false	http://github.com/stephenrcox/adclustermapview
desertsong/vim-pathogen	vim pathogen	True	http://github.com/desertsong/vim-pathogen
samanhappy/duboo	duboo	false	http://github.com/samanhappy/duboo
sprd-ffos/fake-dalvik	fake dalvik	false	http://github.com/sprd-ffos/fake-dalvik
karlkode/yowsup	yowsup	false	http://github.com/karlkode/yowsup
aviraldg/gcibot	gcibot	false	http://github.com/aviraldg/gcibot
srinivasnidadavolu/nativeappembedwebview	nativeappembedwebview	false	http://github.com/srinivasnidadavolu/nativeappembedwebview
genevienaybiz/bkaey	bkaey	false	http://github.com/genevienaybiz/bkaey
gabilondo/sample_app	sample app	false	http://github.com/gabilondo/sample_app
rjmatsam/myproject	myproject	false	http://github.com/rjmatsam/myproject
sj442/samplecode	samplecode	false	http://github.com/sj442/samplecode
ericlavigne/egoweb-stable	egoweb stable	false	http://github.com/ericlavigne/egoweb-stable
ankitthakur/express3-sample	express3 sample	false	http://github.com/ankitthakur/express3-sample
petrkle/webservice-rajce	webservice rajce	false	http://github.com/petrkle/webservice-rajce
vinodsaikumar/test	test	false	http://github.com/vinodsaikumar/test
lapsong/cm_device_allwinner_a10	cm device allwinner a 	false	http://github.com/lapsong/cm_device_allwinner_a10
jenpaff/computervisiontutorial	computervisiontutorial	false	http://github.com/jenpaff/computervisiontutorial
deiviswingert/webcomponents	webcomponents	false	http://github.com/deiviswingert/webcomponents
stefanvignir/gitignore	gitignore	false	http://github.com/stefanvignir/gitignore
samcrosoft/pydub	pydub	false	http://github.com/samcrosoft/pydub
rossanderson/earthview	earthview	false	http://github.com/rossanderson/earthview
zjgoing/device.js	device js	false	http://github.com/zjgoing/device.js
evisoft/bootstrap-switch	bootstrap switch	false	http://github.com/evisoft/bootstrap-switch
mxs/comp-sci-revision	comp sci revision	false	http://github.com/mxs/comp-sci-revision
dlustig/texteditor	texteditor	True	http://github.com/dlustig/texteditor
drhodus32/android_device_samsung_tuna	android device samsung tuna	false	http://github.com/drhodus32/android_device_samsung_tuna
wisam-jaf/wisam	wisam	false	http://github.com/wisam-jaf/wisam
jsamland/schoolwebmasters	schoolwebmasters	false	http://github.com/jsamland/schoolwebmasters
ndnichols/imaginationenvironment	imaginationenvironment	false	http://github.com/ndnichols/imaginationenvironment
katepdonahue/angular_practice	angular practice	false	http://github.com/katepdonahue/angular_practice
itvincent-git/astrid	astrid	false	http://github.com/itvincent-git/astrid
august0815/povedit	povedit	True	http://github.com/august0815/povedit
vinayaktech/designing	designing	false	http://github.com/vinayaktech/designing
lightosia/ios-navigation-tutorial	ios navigation tutorial	false	http://github.com/lightosia/ios-navigation-tutorial
alextk/rego-devise-lastseenable	rego devise lastseenable	false	http://github.com/alextk/rego-devise-lastseenable
evilester/geekchic	geekchic	false	http://github.com/evilester/geekchic
fredcommo/virtualic50	virtualic 	false	http://github.com/fredcommo/virtualic50
keylorcr/vistiendoalula	vistiendoalula	false	http://github.com/keylorcr/vistiendoalula
pombredanne/travis-worker	travis worker	false	http://github.com/pombredanne/travis-worker
kwanling/metertrackingservice	metertrackingservice	false	http://github.com/kwanling/metertrackingservice
androidmadness/android_device_samsung_s6500d	android device samsung s d	false	http://github.com/androidmadness/android_device_samsung_s6500d
katerinakaz/hibernate-orm	hibernate orm	false	http://github.com/katerinakaz/hibernate-orm
aennis/sportsstore_sample1	sportsstore sample1	false	http://github.com/aennis/sportsstore_sample1
emacsmirror/popup-global-mark-ring	popup global mark ring	false	http://github.com/emacsmirror/popup-global-mark-ring
vincentpeters/cl-rpg	cl rpg	false	http://github.com/vincentpeters/cl-rpg
bhatiaankur1/devise	devise	false	http://github.com/bhatiaankur1/devise
maiconn/testeactivityparam	testeactivityparam	false	http://github.com/maiconn/testeactivityparam
lukas-t/moox-handlesvia	moox handlesvia	false	http://github.com/lukas-t/moox-handlesvia
ddany/thcircularprogressview	thcircularprogressview	false	http://github.com/ddany/thcircularprogressview
wastingbody/newtongravitysim	newtongravitysim	false	http://github.com/wastingbody/newtongravitysim
whe/nano-lab	nano lab	false	http://github.com/whe/nano-lab
mazenovi/mazenovi.github.com	mazenovi github com	false	http://github.com/mazenovi/mazenovi.github.com
pytisimelesam/preteen-years-doctors	preteen years doctors	false	http://github.com/pytisimelesam/preteen-years-doctors
prudhvireddy123/multimovie	multimovie	false	http://github.com/prudhvireddy123/multimovie
vivekchoksi/vivek	vivek	false	http://github.com/vivekchoksi/vivek
edvillan15/chromattic	chromattic	false	http://github.com/edvillan15/chromattic
erdavila/rails-tutorial	rails tutorial	false	http://github.com/erdavila/rails-tutorial
holzman/osg_glue2_provider	osg glue2 provider	false	http://github.com/holzman/osg_glue2_provider
kodastropi/partkeepr	partkeepr	false	http://github.com/kodastropi/partkeepr
holyvirus/blacksmith	blacksmith	false	http://github.com/holyvirus/blacksmith
summy0730/sample_app	sample app	false	http://github.com/summy0730/sample_app
joshsoftware/overview	overview	false	http://github.com/joshsoftware/overview
sonakonna/watch-wakefield-wildcats-vs-widnes-vikings-live-super-rugby-stream-on-your-pc	watch wakefield wildcats vs widnes vikings live super rugby stream on your pc	false	http://github.com/sonakonna/watch-wakefield-wildcats-vs-widnes-vikings-live-super-rugby-stream-on-your-pc
ryantaoyf/touchimageview	touchimageview	false	http://github.com/ryantaoyf/touchimageview
jacksonpires/sublime-text-2	sublime text 2	True	http://github.com/jacksonpires/sublime-text-2
arcardinal/device_lge_ls980	device lge ls 	false	http://github.com/arcardinal/device_lge_ls980
mojtabacazi/msdynamicsdrawerviewcontroller	msdynamicsdrawerviewcontroller	false	http://github.com/mojtabacazi/msdynamicsdrawerviewcontroller
ogkouwpe/sampleremote	sampleremote	false	http://github.com/ogkouwpe/sampleremote
ovisammon/paexec	paexec	false	http://github.com/ovisammon/paexec
davidmight/arithmeticprolog	arithmeticprolog	false	http://github.com/davidmight/arithmeticprolog
newlight77/rest-api-sample-app-java	rest api sample app java	false	http://github.com/newlight77/rest-api-sample-app-java
jamesnvc/handcrafted-haml-textmate-bundle	handcrafted haml textmate bundle	True	http://github.com/jamesnvc/handcrafted-haml-textmate-bundle
grimen/devise_facebook_connectable	devise facebook connectable	false	http://github.com/grimen/devise_facebook_connectable
wyuka/pidginlogviewer	pidginlogviewer	True	http://github.com/wyuka/pidginlogviewer
vishk123/billing	billing	True	http://github.com/vishk123/billing
skullrave/almovieplayercontroller	almovieplayercontroller	false	http://github.com/skullrave/almovieplayercontroller
kavindainusha-1993/gitgubrepo	gitgubrepo	false	http://github.com/kavindainusha-1993/gitgubrepo
astrolger/sample_app	sample app	false	http://github.com/astrolger/sample_app
samc05991/hotel	hotel	false	http://github.com/samc05991/hotel
eclipse2x/loadmoretablefooterview	loadmoretablefooterview	false	http://github.com/eclipse2x/loadmoretablefooterview
web-ascender/devise-mongo_mapper	devise mongo mapper	false	http://github.com/web-ascender/devise-mongo_mapper
vitobotta/nginx_http_push_module	nginx http push module	false	http://github.com/vitobotta/nginx_http_push_module
evinugur/androidsnapshotservice	androidsnapshotservice	false	http://github.com/evinugur/androidsnapshotservice
arissamad/arishour-hockey-booking-system	arishour hockey booking system	false	http://github.com/arissamad/arishour-hockey-booking-system
michalokulski/android_kernel_samsung_janice	android kernel samsung janice	false	http://github.com/michalokulski/android_kernel_samsung_janice
mpsampat/milksets	milksets	false	http://github.com/mpsampat/milksets
liviajs/livia	livia	false	http://github.com/liviajs/livia
aravindavk/talks	talks	false	http://github.com/aravindavk/talks
keflavich/pyavm	pyavm	false	http://github.com/keflavich/pyavm
marvindminz/6th-semester-project	6th semester project	false	http://github.com/marvindminz/6th-semester-project
ntheile/android-azure-mobile-services-todolist	android azure mobile services todolist	false	http://github.com/ntheile/android-azure-mobile-services-todolist
zetsubo/vigor	vigor	false	http://github.com/zetsubo/vigor
playoss-dev/android_device_acer_a200	android device acer a 	false	http://github.com/playoss-dev/android_device_acer_a200
dirtydroidx/device_samsung_t0ltetmo	device samsung t0ltetmo	false	http://github.com/dirtydroidx/device_samsung_t0ltetmo
frinxor/sample_app	sample app	false	http://github.com/frinxor/sample_app
pathightree/spacenavigator	spacenavigator	false	http://github.com/pathightree/spacenavigator
vitroid/boids	boids	false	http://github.com/vitroid/boids
jdegante/sample_app	sample app	false	http://github.com/jdegante/sample_app
sameersegal/ga-beacon	ga beacon	false	http://github.com/sameersegal/ga-beacon
beodeulsoft/vietfastkeyboard	vietfastkeyboard	false	http://github.com/beodeulsoft/vietfastkeyboard
rmarcu/victordov_roadmap	victordov roadmap	false	http://github.com/rmarcu/victordov_roadmap
zushenyan/vimrc	vimrc	True	http://github.com/zushenyan/vimrc
niklasb/bufkill.vim	bufkill vim	True	http://github.com/niklasb/bufkill.vim
svicalifornia/runway	runway	false	http://github.com/svicalifornia/runway
evsc/videobenchmark	videobenchmark	false	http://github.com/evsc/videobenchmark
uxscripts/visualsedimentation	visualsedimentation	false	http://github.com/uxscripts/visualsedimentation
flavioc/ml-report	ml report	false	http://github.com/flavioc/ml-report
codediving/mncalendarview	mncalendarview	false	http://github.com/codediving/mncalendarview
jedbrown/jedbib	jedbib	false	http://github.com/jedbrown/jedbib
dingulx2/androidcalendardateview	androidcalendardateview	false	http://github.com/dingulx2/androidcalendardateview
smiklosovic/todo	todo	false	http://github.com/smiklosovic/todo
mthiede/rtext_eclipse_plugin	rtext eclipse plugin	True	http://github.com/mthiede/rtext_eclipse_plugin
vijayrawatsan/share-button	share button	false	http://github.com/vijayrawatsan/share-button
joelamalio/curriculum-latex	curriculum latex	false	http://github.com/joelamalio/curriculum-latex
basco-johnkevin/entrust	entrust	false	http://github.com/basco-johnkevin/entrust
kevien/platform_frameworks_base	platform frameworks base	false	http://github.com/kevien/platform_frameworks_base
joeybaker/bootstrap	bootstrap	false	http://github.com/joeybaker/bootstrap
vilian/javascript-tanks	javascript tanks	false	http://github.com/vilian/javascript-tanks
davidanthoff/forwarddiff.jl	forwarddiff jl	false	http://github.com/davidanthoff/forwarddiff.jl
ujihisa/vim-hacks	vim hacks	True	http://github.com/ujihisa/vim-hacks
whyte/civichackday	civichackday	false	http://github.com/whyte/civichackday
derviwera/free--om-jones-a-foundling-pps-ebook-library	free  om jones a foundling pps ebook library	false	http://github.com/derviwera/free--om-jones-a-foundling-pps-ebook-library
viniciuspires/jammin	jammin	false	http://github.com/viniciuspires/jammin
aokp/device_samsung_p3113	device samsung p 	false	http://github.com/aokp/device_samsung_p3113
vijay-qburst/cm-wiki	cm wiki	false	http://github.com/vijay-qburst/cm-wiki
mozilla-b2g/android-device-crespo4g	android device crespo4g	false	http://github.com/mozilla-b2g/android-device-crespo4g
vineethrp/xattr	xattr	false	http://github.com/vineethrp/xattr
jonswar/perl-catalyst-view-mason2	perl catalyst view mason2	false	http://github.com/jonswar/perl-catalyst-view-mason2
austinzmchen/marionettepoweredlistview	marionettepoweredlistview	false	http://github.com/austinzmchen/marionettepoweredlistview
imclab/sampling-talk	sampling talk	false	http://github.com/imclab/sampling-talk
kingavin/library-cms	library cms	false	http://github.com/kingavin/library-cms
rjaquino/gedit-plugin-codecompletion	gedit plugin codecompletion	True	http://github.com/rjaquino/gedit-plugin-codecompletion
davidwparker/csci5606-numcomp	csci  numcomp	false	http://github.com/davidwparker/csci5606-numcomp
richardustc/dot-vimrc	dot vimrc	True	http://github.com/richardustc/dot-vimrc
marcofreda527/android-device-otoro	android device otoro	false	http://github.com/marcofreda527/android-device-otoro
joeletizia/rss-reader	rss reader	True	http://github.com/joeletizia/rss-reader
if-act/repli_kate	repli kate	false	http://github.com/if-act/repli_kate
avienne/assistantpy	assistantpy	false	http://github.com/avienne/assistantpy
vijaycs85/vijaycs85	vijaycs 	false	http://github.com/vijaycs85/vijaycs85
zhongqf/vimconfig	vimconfig	True	http://github.com/zhongqf/vimconfig
alexmathew/survivor-series-simulator	survivor series simulator	false	http://github.com/alexmathew/survivor-series-simulator
kevincomo/aria2	aria2	false	http://github.com/kevincomo/aria2
arnavg/android_device_huawei_u8860	android device huawei u 	false	http://github.com/arnavg/android_device_huawei_u8860
dwellers/mcswipetableviewcell	mcswipetableviewcell	false	http://github.com/dwellers/mcswipetableviewcell
dcansservices/extensions	extensions	false	http://github.com/dcansservices/extensions
talkvip/android-slideexpandablelistview	android slideexpandablelistview	false	http://github.com/talkvip/android-slideexpandablelistview
davimmoreira/popcorn-app	popcorn app	false	http://github.com/davimmoreira/popcorn-app
snuffie/rails4-bootstrap-devise-cancan-omniauth	rails4 bootstrap devise cancan omniauth	false	http://github.com/snuffie/rails4-bootstrap-devise-cancan-omniauth
asaayers/sc02-loading-views	sc  loading views	false	http://github.com/asaayers/sc02-loading-views
nikolaytopalov/vistarpcviewer	vistarpcviewer	false	http://github.com/nikolaytopalov/vistarpcviewer
haijieg/dwd-sample-readme	dwd sample readme	false	http://github.com/haijieg/dwd-sample-readme
illvili/moegirlwiki	moegirlwiki	false	http://github.com/illvili/moegirlwiki
disound/phonegap-samples	phonegap samples	false	http://github.com/disound/phonegap-samples
wattle/sample-scim-client	sample scim client	false	http://github.com/wattle/sample-scim-client
ayfxnet/same-game-gravity	same game gravity	false	http://github.com/ayfxnet/same-game-gravity
civicrm/civicrm-infra	civicrm infra	false	http://github.com/civicrm/civicrm-infra
sjith1987/extendedcalendarview	extendedcalendarview	false	http://github.com/sjith1987/extendedcalendarview
savamarkovic/phpvms_loa	phpvms loa	false	http://github.com/savamarkovic/phpvms_loa
marcthiele/navigataur	navigataur	false	http://github.com/marcthiele/navigataur
vstm/slash.vim	slash vim	True	http://github.com/vstm/slash.vim
kumavis/voxel-backup	voxel backup	false	http://github.com/kumavis/voxel-backup
brook19/showcaseview	showcaseview	false	http://github.com/brook19/showcaseview
divid3byzero/liferay-faces	liferay faces	false	http://github.com/divid3byzero/liferay-faces
vijayrawatsan/cool-ascii-faces	cool ascii faces	false	http://github.com/vijayrawatsan/cool-ascii-faces
vidyard/framey	framey	false	http://github.com/vidyard/framey
leomelzer/try_git	try git	false	http://github.com/leomelzer/try_git
chegg-bbercovitz/java-bloomfilter	java bloomfilter	false	http://github.com/chegg-bbercovitz/java-bloomfilter
samccone/gulpjs.github.io	gulpjs github io	false	http://github.com/samccone/gulpjs.github.io
oloed/maven-android-plugin-samples	maven android plugin samples	false	http://github.com/oloed/maven-android-plugin-samples
loosechippings/svnviz	svnviz	false	http://github.com/loosechippings/svnviz
baileybadger/android_device_samsung_aries-common	android device samsung aries common	false	http://github.com/baileybadger/android_device_samsung_aries-common
simonevincenzi/seasonal-growth	seasonal growth	false	http://github.com/simonevincenzi/seasonal-growth
rlindsgaard/ronnil-vim	ronnil vim	True	http://github.com/rlindsgaard/ronnil-vim
tim-peterson/crocodoc-docviewer	crocodoc docviewer	True	http://github.com/tim-peterson/crocodoc-docviewer
vincekyi/cs161	cs 	false	http://github.com/vincekyi/cs161
fabiogaluppo/samples	samples	false	http://github.com/fabiogaluppo/samples
scream2010/mon	mon	false	http://github.com/scream2010/mon
insaynehyena/flexible-survival	flexible survival	false	http://github.com/insaynehyena/flexible-survival
afiedler/devise_oauth2_providable	devise oauth2 providable	false	http://github.com/afiedler/devise_oauth2_providable
itsjoesullivan/knob.js	knob js	false	http://github.com/itsjoesullivan/knob.js
analogdeviceslyriclabs/dimpledemos	dimpledemos	false	http://github.com/analogdeviceslyriclabs/dimpledemos
contextors/yaml_db	yaml db	false	http://github.com/contextors/yaml_db
david4034647/android-universal-image-loader	android universal image loader	false	http://github.com/david4034647/android-universal-image-loader
fariala/virux	virux	false	http://github.com/fariala/virux
melvinto/osx_service_create_smaller_image.workflow	osx service create smaller image workflow	false	http://github.com/melvinto/osx_service_create_smaller_image.workflow
toddigodi/netvideo	netvideo	false	http://github.com/toddigodi/netvideo
iurisilvio/freedomsponsors-trac-plugin	freedomsponsors trac plugin	false	http://github.com/iurisilvio/freedomsponsors-trac-plugin
leoi11/ruby_app	ruby app	false	http://github.com/leoi11/ruby_app
tlevine/r-dat.frame	r dat frame	false	http://github.com/tlevine/r-dat.frame
vijayparikh/ghostwriter	ghostwriter	false	http://github.com/vijayparikh/ghostwriter
leoliu/python-el	python el	false	http://github.com/leoliu/python-el
crxteam/android_device_lge_p705	android device lge p 	false	http://github.com/crxteam/android_device_lge_p705
leoschweizer/pathobjects-thesis	pathobjects thesis	false	http://github.com/leoschweizer/pathobjects-thesis
hypertexthero/phytosanitary	phytosanitary	false	http://github.com/hypertexthero/phytosanitary
davissuperman/infocusasia	infocusasia	false	http://github.com/davissuperman/infocusasia
travisdesell/dnaathome_client	dnaathome client	false	http://github.com/travisdesell/dnaathome_client
chromobear/open-baskerville	open baskerville	false	http://github.com/chromobear/open-baskerville
snowleo/bukkit	bukkit	false	http://github.com/snowleo/bukkit
travis4all/appboard-node	appboard node	false	http://github.com/travis4all/appboard-node
johnsoldera/viola	viola	false	http://github.com/johnsoldera/viola
dennixgc/mobileontv	mobileontv	false	http://github.com/dennixgc/mobileontv
akmassey/nanoc	nanoc	false	http://github.com/akmassey/nanoc
liquid-moto/android_device_motorola_droid2	android device motorola droid2	false	http://github.com/liquid-moto/android_device_motorola_droid2
kevinsherman/priceguide	priceguide	false	http://github.com/kevinsherman/priceguide
jonabesamis/heroku	heroku	false	http://github.com/jonabesamis/heroku
arvidj/ext-coreapi	ext coreapi	false	http://github.com/arvidj/ext-coreapi
kevinstubbs/2048-player	  player	false	http://github.com/kevinstubbs/2048-player
vitoro/test-repo	test repo	false	http://github.com/vitoro/test-repo
daugaard/sambala	sambala	false	http://github.com/daugaard/sambala
joeromero/arsnova-war	arsnova war	false	http://github.com/joeromero/arsnova-war
movibe/dynatree	dynatree	false	http://github.com/movibe/dynatree
trman/android_packages_providers_downloadprovider	android packages providers downloadprovider	false	http://github.com/trman/android_packages_providers_downloadprovider
zirkc/mpflipviewcontroller	mpflipviewcontroller	false	http://github.com/zirkc/mpflipviewcontroller
pianosnake/vibe-leaflet-mashup	vibe leaflet mashup	false	http://github.com/pianosnake/vibe-leaflet-mashup
jpluto/ghpiechartprogressview	ghpiechartprogressview	false	http://github.com/jpluto/ghpiechartprogressview
stevie-mayhew/silverstripe-facebookconnect	silverstripe facebookconnect	false	http://github.com/stevie-mayhew/silverstripe-facebookconnect
victoras/reset	reset	false	http://github.com/victoras/reset
nbolton/my-dot-emacs	my dot emacs	True	http://github.com/nbolton/my-dot-emacs
sivartravis/kartograph.js	kartograph js	false	http://github.com/sivartravis/kartograph.js
kissthefuture/k-vim	k vim	True	http://github.com/kissthefuture/k-vim
williamgavidia/portaluniversitario	portaluniversitario	false	http://github.com/williamgavidia/portaluniversitario
jonathangerbaud/pinned-section-listview	pinned section listview	false	http://github.com/jonathangerbaud/pinned-section-listview
utkanos/android_device_samsung_tuna	android device samsung tuna	false	http://github.com/utkanos/android_device_samsung_tuna
nicba1010/novinet-app	novinet app	false	http://github.com/nicba1010/novinet-app
answerto/devicons	devicons	false	http://github.com/answerto/devicons
vanleo/vanleo	vanleo	false	http://github.com/vanleo/vanleo
joevillanueva/friendbc	friendbc	false	http://github.com/joevillanueva/friendbc
mskeving/oop_lesson	oop lesson	false	http://github.com/mskeving/oop_lesson
samuel-murphy/nobodieslabs_app	nobodieslabs app	false	http://github.com/samuel-murphy/nobodieslabs_app
victorbarrera/promociones	promociones	false	http://github.com/victorbarrera/promociones
kuantkid/pyvision	pyvision	false	http://github.com/kuantkid/pyvision
surevine/elgg	elgg	false	http://github.com/surevine/elgg
wp-plugins/videntity	videntity	false	http://github.com/wp-plugins/videntity
johnnyiqbal/android-viewpagerindicator	android viewpagerindicator	false	http://github.com/johnnyiqbal/android-viewpagerindicator
vim-scripts/kaltex.vim	kaltex vim	True	http://github.com/vim-scripts/kaltex.vim
samdutton/conf	conf	false	http://github.com/samdutton/conf
vitormattos/aec	aec	false	http://github.com/vitormattos/aec
thomkb/code-samples	code samples	false	http://github.com/thomkb/code-samples
nateleavitt/rubycas-client	rubycas client	false	http://github.com/nateleavitt/rubycas-client
ganity/textmate-goodies	textmate goodies	True	http://github.com/ganity/textmate-goodies
swoodward000/barclamp-provisioner	barclamp provisioner	false	http://github.com/swoodward000/barclamp-provisioner
ivareske/tageditor	tageditor	True	http://github.com/ivareske/tageditor
elvian/admin	admin	false	http://github.com/elvian/admin
mgalvin/varnish-3.0-configuration-templates	varnish 3 0 configuration templates	false	http://github.com/mgalvin/varnish-3.0-configuration-templates
julienxx/dotvim	dotvim	True	http://github.com/julienxx/dotvim
freekdb/netflixoverview	netflixoverview	false	http://github.com/freekdb/netflixoverview
cvivas/compiler	compiler	false	http://github.com/cvivas/compiler
leo989/final-project	final project	false	http://github.com/leo989/final-project
viusing/pinry	pinry	false	http://github.com/viusing/pinry
travis4all/node-api	node api	false	http://github.com/travis4all/node-api
kellymckinnon/gitoverview	gitoverview	false	http://github.com/kellymckinnon/gitoverview
vij2288/responsivecss	responsivecss	false	http://github.com/vij2288/responsivecss
backmonsporwobb/torrent-push-avi-seed	torrent push avi seed	false	http://github.com/backmonsporwobb/torrent-push-avi-seed
azureatom/browser-view-controller--iphone-	browser view controller  iphone 	false	http://github.com/azureatom/browser-view-controller--iphone-
cszhouwei/cracking-the-coding-interview	cracking the coding interview	false	http://github.com/cszhouwei/cracking-the-coding-interview
erikbv99421/qt-notepad	qt notepad	True	http://github.com/erikbv99421/qt-notepad
t-vieira/codeigniter	codeigniter	false	http://github.com/t-vieira/codeigniter
willoglen/samples	samples	false	http://github.com/willoglen/samples
travis4all/nodejs-google-ranking	nodejs google ranking	false	http://github.com/travis4all/nodejs-google-ranking
